"id","frame_nmr","car_id","license_number","license_number_score","data_hora"
"1105741",1391962,-1,"OPO3398","0.9039429426193237","2025-08-11 10:39:24.766018-03"
"1105742",1391962,-1,"OPO3398","0.9513534307479858","2025-08-11 10:39:24.927831-03"
"1105743",1391963,-1,"OPO3398","0.9390369057655334","2025-08-11 10:39:25.111289-03"
"1105744",1391963,-1,"OPO3398","0.9199943542480469","2025-08-11 10:39:25.288915-03"
"1105745",1391964,-1,"OPO3398","0.9208995699882507","2025-08-11 10:39:25.478321-03"
"1105746",1391964,-1,"OPO3398","0.9279197454452515","2025-08-11 10:39:25.634099-03"
"1105747",1391965,-1,"OPO3398","0.9499401450157166","2025-08-11 10:39:25.811732-03"
"1105748",1391965,-1,"OPO3398","0.945393443107605","2025-08-11 10:39:25.98334-03"
"1105749",1391966,-1,"OPO3398","0.9155108332633972","2025-08-11 10:39:26.207955-03"
"1105750",1391966,-1,"OPO3198","0.9444531202316284","2025-08-11 10:39:26.377803-03"
"1105751",1391967,-1,"OPO3398","0.9542442560195923","2025-08-11 10:39:26.5376-03"
"1105752",1391967,-1,"OPO3398","0.9395986795425415","2025-08-11 10:39:26.715085-03"
"1105753",1391968,-1,"OPO3398","0.9211516380310059","2025-08-11 10:39:27.032665-03"
"1105754",1391968,-1,"OPO3398","0.8866164088249207","2025-08-11 10:39:27.194455-03"
"1105755",1391969,-1,"OPO3398","0.9432740807533264","2025-08-11 10:39:27.401662-03"
"1105756",1391969,-1,"OPO3398","0.9036262631416321","2025-08-11 10:39:27.571253-03"
"1105757",1391970,-1,"OPO3398","0.9045348763465881","2025-08-11 10:39:27.801932-03"
"1105758",1391970,-1,"OPO3398","0.9698525071144104","2025-08-11 10:39:27.967455-03"
"1105759",1391971,-1,"OPO3398","0.8709535598754883","2025-08-11 10:39:28.176621-03"
"1105760",1391971,-1,"OPO3398","0.9089828133583069","2025-08-11 10:39:28.338161-03"
"1105761",1391972,-1,"OPO3398","0.9061075448989868","2025-08-11 10:39:28.502066-03"
"1105762",1391972,-1,"OPO3398","0.8947156667709351","2025-08-11 10:39:28.673671-03"
"1105763",1391973,-1,"OPO3398","0.9156937599182129","2025-08-11 10:39:28.841501-03"
"1105764",1391973,-1,"OPO3398","0.9391908049583435","2025-08-11 10:39:28.993234-03"
"1105765",1391974,-1,"OPO3398","0.9171770811080933","2025-08-11 10:39:29.158846-03"
"1105766",1391974,-1,"OPO3398","0.9047018885612488","2025-08-11 10:39:29.328676-03"
"1105767",1391975,-1,"OPO3398","0.8804416060447693","2025-08-11 10:39:29.49625-03"
"1105768",1391975,-1,"OPO3398","0.8938385248184204","2025-08-11 10:39:29.647989-03"
"1105769",1391976,-1,"OPO3398","0.8949516415596008","2025-08-11 10:39:29.809801-03"
"1105770",1391976,-1,"OPO3398","0.896868884563446","2025-08-11 10:39:29.981353-03"
"1105771",1391977,-1,"OPO3398","0.8640375733375549","2025-08-11 10:39:30.152971-03"
"1105772",1391977,-1,"OPO3398","0.9210408329963684","2025-08-11 10:39:30.312866-03"
"1105773",1391978,-1,"OPO3398","0.9433740973472595","2025-08-11 10:39:30.472681-03"
"1105774",1391978,-1,"OPO3398","0.9080920219421387","2025-08-11 10:39:30.636522-03"
"1105775",1391979,-1,"OPO3398","0.8772067427635193","2025-08-11 10:39:30.81415-03"
"1105776",1391979,-1,"OPO3398","0.8896152377128601","2025-08-11 10:39:30.965876-03"
"1105777",1391980,-1,"OPO3398","0.8959131240844727","2025-08-11 10:39:31.198643-03"
"1105778",1391980,-1,"OPO3398","0.8764979243278503","2025-08-11 10:39:31.354474-03"
"1105779",1391981,-1,"OPO3398","0.9447379112243652","2025-08-11 10:39:31.522309-03"
"1105780",1391981,-1,"OPO3398","0.9344087839126587","2025-08-11 10:39:31.691955-03"
"1105781",1391982,-1,"OPO3398","0.9727938771247864","2025-08-11 10:39:31.841722-03"
"1105782",1391983,-1,"OPO3398","0.7106340527534485","2025-08-11 10:39:33.213403-03"
"1105783",1391984,-1,"OPO3398","0.7506636381149292","2025-08-11 10:39:33.539107-03"
"1105784",1391985,-1,"OPO3398","0.8228138089179993","2025-08-11 10:39:33.856669-03"
"1105785",1391985,-1,"OPO3398","0.8101434111595154","2025-08-11 10:39:34.020275-03"
"1105786",1391986,-1,"OPO3398","0.8643437027931213","2025-08-11 10:39:34.188065-03"
"1105787",1391987,-1,"OPO3098","0.7939125895500183","2025-08-11 10:39:34.505688-03"
"1105788",1391987,-1,"OPO3398","0.7489339113235474","2025-08-11 10:39:34.675301-03"
"1105789",1391988,-1,"OPO3398","0.833461582660675","2025-08-11 10:39:34.837138-03"
"1105790",1391988,-1,"OPO3198","0.7400813102722168","2025-08-11 10:39:34.990886-03"
"1105791",1391991,-1,"OPO3098","0.8102154731750488","2025-08-11 10:39:35.498013-03"
"1105792",1391991,-1,"OPO3098","0.6984729170799255","2025-08-11 10:39:35.661624-03"
"1105793",1391992,-1,"OPO3398","0.7389999628067017","2025-08-11 10:39:35.815675-03"
"1105794",1391992,-1,"OPO3398","0.6977167129516602","2025-08-11 10:39:35.983259-03"
"1105795",1392392,-1,"HGJ3663","0.9885525703430176","2025-08-11 10:40:37.924223-03"
"1105796",1392393,-1,"HGJ3663","0.9887195229530334","2025-08-11 10:40:38.423159-03"
"1105797",1392393,-1,"JGG3H63","0.9746060073375702","2025-08-11 10:40:38.604815-03"
"1105798",1392394,-1,"HGJ3663","0.9803450703620911","2025-08-11 10:40:38.841446-03"
"1105799",1392399,-1,"JGG3H63","0.9918371737003326","2025-08-11 10:40:40.012075-03"
"1105800",1392400,-1,"JGG3H63","0.9793465733528137","2025-08-11 10:40:40.298207-03"
"1105801",1392400,-1,"JGG3H63","0.9870084524154663","2025-08-11 10:40:40.513358-03"
"1105802",1392402,-1,"JGG3H63","0.9647128283977509","2025-08-11 10:40:40.93553-03"
"1105803",1392406,-1,"JGG3H63","0.9903915822505951","2025-08-11 10:40:41.26869-03"
"1105804",1392413,-1,"HGJ3663","0.9862881600856781","2025-08-11 10:40:41.746189-03"
"1105805",1392413,-1,"JGG3H63","0.9836656153202057","2025-08-11 10:40:41.939229-03"
"1105806",1392415,-1,"HGJ3663","0.9768435657024384","2025-08-11 10:40:42.128604-03"
"1105807",1392415,-1,"JGG3H63","0.9680481851100922","2025-08-11 10:40:42.320032-03"
"1105808",1392418,-1,"HGJ3663","0.8980150520801544","2025-08-11 10:40:42.51549-03"
"1105809",1392418,-1,"JGG3H63","0.9325241446495056","2025-08-11 10:40:42.702867-03"
